iter	RMSE
0	549359.8412
1	534112.2772
2	520327.3223
3	508902.5658
4	496876.3123
5	487302.1228
6	477418.9536
7	468584.8308
8	460795.5136
9	452478.4444
10	444180.0099
11	438897.0055
12	432750.9597
13	425947.4187
14	419271.9448
15	413330.2552
16	407006.1848
17	402223.8901
18	397444.117
19	392627.2588
20	386750.7626
21	383205.8569
22	379482.7261
23	376320.9358
24	371699.8122
25	368117.891
26	363477.6505
27	359537.6164
28	356872.9846
29	351919.9033
30	350246.9388
31	347485.4269
32	344217.3302
33	341623.4976
34	337826.6514
35	334050.1128
36	332181.1248
37	329534.2547
38	326716.5738
39	323782.5158
40	321018.2489
41	317324.2097
42	314021.0096
43	311374.6948
44	308307.9792
45	305459.4393
46	302700.2383
47	301132.774
48	298327.6263
49	295707.9661
50	292815.9629
51	290968.0172
52	289512.9473
53	286821.192
54	284867.6949
55	281856.2461
56	280108.6387
57	277250.588
58	276070.8992
59	273549.3732
60	271715.4042
61	269845.2019
62	268252.8174
63	266708.1703
64	265177.1464
65	263099.0849
66	261682.0632
67	259607.9674
68	258440.7688
69	257402.7555
70	256425.7154
71	255459.1524
72	254909.1817
73	253669.0804
74	251508.8084
75	249361.1736
76	247431.5377
77	246589.8549
78	244905.9814
79	243545.159
80	242465.6368
81	240936.1265
82	240401.9179
83	239567.808
84	238537.0692
85	236513.6011
86	234759.5835
87	234084.6142
88	232911.9222
89	232102.1741
90	230962.4501
91	229687.2935
92	228806.1994
93	228062.8371
94	227487.7165
95	226791.728
96	225447.8611
97	225023.9085
98	223892.0633
99	223550.7953
100	222547.6049
101	221602.4743
102	220967.7988
103	219847.7731
104	218686.5896
105	217570.6413
106	216990.6291
107	216653.4356
108	215697.8822
109	214952.8604
110	213816.3493
111	213059.5576
112	212287.1371
113	211633.1633
114	210842.6874
115	209510.8257
116	208961.4758
117	208605.0602
118	207437.8415
119	206469.9889
120	206149.9406
121	205091.0789
122	204625.9035
123	204086.2858
124	202821.6711
125	201861.7256
126	201658.8795
127	201290.1338
128	200428.3717
129	199817.197
130	198896.5902
131	198231.0423
132	197706.1192
133	196787.0949
134	196135.5722
135	195735.8764
136	195455.0141
137	195070.7181
138	194047.8058
139	193605.5388
140	193063.7147
141	192670.6809
142	191933.8713
143	191108.3154
144	190415.8259
145	189668.847
146	188795.5366
147	188360.0037
148	187940.5447
149	187300.2743
150	186780.6706
151	186238.1358
152	185491.6108
153	184992.2267
154	184585.3576
155	184088.1964
156	183349.625
157	182931.4186
158	182418.9265
159	181827.9777
160	181214.1767
161	180722.6671
162	180019.7609
163	179458.1161
164	179071.1627
165	178437.0671
166	177992.2427
167	177491.8522
168	177067.1283
169	176674.9714
170	176169.4087
171	175634.6073
172	175150.0918
173	174814.4377
174	174401.3751
175	173888.7445
176	173520.2193
177	173062.8166
178	172574.8964
179	172078.7472
180	171510.6771
181	170954.7804
182	170544.9632
183	170284.4045
184	169703.0077
185	169282.6601
186	168877.2517
187	168616.1631
188	168017.1243
189	167575.1295
190	167314.6477
191	166872.0447
192	166694.4712
193	166339.8868
194	166101.5532
195	165924.4208
196	165388.9547
197	164956.6697
198	164523.8317
199	164056.9136
200	163722.8708
201	163277.1635
202	163041.0534
203	162793.9109
204	162501.9685
205	162286.226
206	162099.5318
207	161921.9739
208	161719.8329
209	161236.8784
210	160949.7348
211	160614.9668
212	160207.5715
213	159947.0751
214	159646.1539
215	159304.8772
216	159095.8166
217	158783.0553
218	158438.4397
219	158228.1393
220	157855.4736
221	157463.2244
222	157154.179
223	156989.699
224	156647.3788
225	156275.3916
226	156031.194
227	155639.8215
228	155314.818
229	154933.4623
230	154771.5893
231	154530.0002
232	154296.1785
233	154102.5408
234	153745.749
235	153500.3166
236	153202.1774
237	153004.4599
238	152703.1934
239	152523.5384
240	152239.9315
241	151963.6305
242	151707.4652
243	151489.6892
244	151154.0218
245	150967.422
246	150781.7081
247	150577.6885
248	150380.3087
249	150186.1925
250	149955.4635
251	149791.9325
252	149576.9447
253	149438.387
254	149078.821
255	148892.9772
256	148643.2921
257	148392.1602
258	148141.8335
259	147811.8824
260	147637.1614
261	147469.3079
262	147191.1301
263	146950.6462
264	146624.4896
265	146461.3047
266	146290.7284
267	146135.036
268	145998.5113
269	145745.8366
270	145605.0133
271	145502.2955
272	145308.297
273	145105.9981
274	145023.7379
275	144795.5604
276	144577.7795
277	144420.4978
278	144277.3246
279	143915.9324
280	143659.2506
281	143518.4829
282	143389.2999
283	143125.34
284	142889.2189
285	142660.3555
286	142520.1596
287	142385.4005
288	142086.4948
289	141844.4908
290	141631.6138
291	141417.0761
292	141185.2174
293	141065.5769
294	140851.4747
295	140662.9786
296	140474.4828
297	140302.1332
298	140110.2954
299	139886.5601
300	139748.0257
